contrato_id;customer_id;plano_id;uf;data_inicio;data_cancelamento;status_churn;data_referencia;tempo_de_casa_dias;tempo_de_casa_meses;inicio_janela_90d;fim_janela_90d
1;1;2;SP;2023-02-27;;ativo;2024-12-31;673;22;2024-10-02;2024-12-31
2;2;1;SP;2023-06-04;2024-02-04;cancelou;2024-02-04;245;8;2023-11-06;2024-02-04
3;3;1;MG;2022-09-29;;ativo;2024-12-31;824;27;2024-10-02;2024-12-31
4;4;2;RJ;2024-02-12;;ativo;2024-12-31;323;10;2024-10-02;2024-12-31
5;5;2;RJ;2022-04-18;2022-08-09;cancelou;2022-08-09;113;3;2022-05-11;2022-08-09
6;6;3;RJ;2022-06-24;2023-08-22;cancelou;2023-08-22;424;14;2023-05-24;2023-08-22
7;7;4;SP;2023-04-14;;ativo;2024-12-31;627;20;2024-10-02;2024-12-31
8;8;2;RS;2023-07-26;;ativo;2024-12-31;524;17;2024-10-02;2024-12-31
9;9;2;SP;2024-03-03;;ativo;2024-12-31;303;10;2024-10-02;2024-12-31
10;10;2;PE;2022-01-15;;ativo;2024-12-31;1081;36;2024-10-02;2024-12-31
11;11;2;BA;2023-08-31;;ativo;2024-12-31;488;16;2024-10-02;2024-12-31
12;12;1;SP;2023-01-16;;ativo;2024-12-31;715;23;2024-10-02;2024-12-31
13;13;1;SP;2023-03-08;;ativo;2024-12-31;664;22;2024-10-02;2024-12-31
14;14;1;SP;2022-10-25;;ativo;2024-12-31;798;26;2024-10-02;2024-12-31
15;15;2;RJ;2023-11-11;;ativo;2024-12-31;416;13;2024-10-02;2024-12-31
16;16;3;RJ;2023-07-23;;ativo;2024-12-31;527;17;2024-10-02;2024-12-31
17;17;2;RS;2023-03-12;;ativo;2024-12-31;660;22;2024-10-02;2024-12-31
18;18;2;PE;2024-06-05;;ativo;2024-12-31;209;6;2024-10-02;2024-12-31
19;19;2;SP;2023-01-28;2024-04-20;cancelou;2024-04-20;448;14;2024-01-21;2024-04-20
20;20;1;RS;2023-10-20;2024-04-18;cancelou;2024-04-18;181;6;2024-01-19;2024-04-18
21;21;2;RJ;2022-03-20;;ativo;2024-12-31;1017;33;2024-10-02;2024-12-31
22;22;3;RS;2022-08-01;;ativo;2024-12-31;883;29;2024-10-02;2024-12-31
23;23;4;BA;2023-09-16;;ativo;2024-12-31;472;15;2024-10-02;2024-12-31
24;24;3;RJ;2024-02-24;;ativo;2024-12-31;311;10;2024-10-02;2024-12-31
25;25;3;PR;2023-06-29;2023-08-13;cancelou;2023-08-13;45;1;2023-05-15;2023-08-13
26;26;3;PE;2024-03-14;;ativo;2024-12-31;292;9;2024-10-02;2024-12-31
27;27;1;MG;2023-08-16;;ativo;2024-12-31;503;16;2024-10-02;2024-12-31
28;28;1;SP;2024-06-07;;ativo;2024-12-31;207;6;2024-10-02;2024-12-31
29;29;2;RJ;2024-06-27;;ativo;2024-12-31;187;6;2024-10-02;2024-12-31
30;30;2;BA;2024-05-06;;ativo;2024-12-31;239;7;2024-10-02;2024-12-31
31;31;2;CE;2023-09-06;;ativo;2024-12-31;482;16;2024-10-02;2024-12-31
32;32;1;MG;2023-01-19;;ativo;2024-12-31;712;23;2024-10-02;2024-12-31
33;33;2;RJ;2024-02-13;;ativo;2024-12-31;322;10;2024-10-02;2024-12-31
34;34;3;RJ;2022-04-04;;ativo;2024-12-31;1002;33;2024-10-02;2024-12-31
35;35;2;CE;2023-04-22;;ativo;2024-12-31;619;20;2024-10-02;2024-12-31
36;36;1;SP;2023-12-28;;ativo;2024-12-31;369;12;2024-10-02;2024-12-31
37;37;2;SP;2022-05-18;;ativo;2024-12-31;958;31;2024-10-02;2024-12-31
38;38;1;BA;2023-04-20;;ativo;2024-12-31;621;20;2024-10-02;2024-12-31
39;39;3;SP;2023-10-04;;ativo;2024-12-31;454;15;2024-10-02;2024-12-31
40;40;4;CE;2024-05-11;;ativo;2024-12-31;234;7;2024-10-02;2024-12-31
41;41;1;CE;2023-10-02;2024-08-07;cancelou;2024-08-07;310;10;2024-05-09;2024-08-07
42;42;2;PE;2023-11-09;2024-08-30;cancelou;2024-08-30;295;9;2024-06-01;2024-08-30
43;43;1;MG;2022-12-26;;ativo;2024-12-31;736;24;2024-10-02;2024-12-31
44;44;1;SP;2023-10-27;;ativo;2024-12-31;431;14;2024-10-02;2024-12-31
45;45;3;PR;2023-12-18;;ativo;2024-12-31;379;12;2024-10-02;2024-12-31
46;46;3;RS;2024-01-23;;ativo;2024-12-31;343;11;2024-10-02;2024-12-31
47;47;2;SP;2022-05-29;2023-05-19;cancelou;2023-05-19;355;11;2023-02-18;2023-05-19
48;48;2;BA;2022-09-16;;ativo;2024-12-31;837;27;2024-10-02;2024-12-31
49;49;3;SP;2023-02-20;;ativo;2024-12-31;680;22;2024-10-02;2024-12-31
50;50;3;RS;2024-06-02;;ativo;2024-12-31;212;7;2024-10-02;2024-12-31
51;51;1;MG;2022-12-02;;ativo;2024-12-31;760;25;2024-10-02;2024-12-31
52;52;2;PE;2023-12-25;;ativo;2024-12-31;372;12;2024-10-02;2024-12-31
53;53;2;CE;2022-06-26;;ativo;2024-12-31;919;30;2024-10-02;2024-12-31
54;54;1;PE;2024-01-31;;ativo;2024-12-31;335;11;2024-10-02;2024-12-31
55;55;4;RJ;2024-05-08;;ativo;2024-12-31;237;7;2024-10-02;2024-12-31
56;56;1;SP;2023-05-28;;ativo;2024-12-31;583;19;2024-10-02;2024-12-31
57;57;3;SP;2022-03-30;;ativo;2024-12-31;1007;33;2024-10-02;2024-12-31
58;58;1;RJ;2022-02-05;;ativo;2024-12-31;1060;35;2024-10-02;2024-12-31
59;59;1;MG;2023-12-31;2024-03-29;cancelou;2024-03-29;89;2;2023-12-30;2024-03-29
60;60;1;SP;2023-11-10;;ativo;2024-12-31;417;13;2024-10-02;2024-12-31
61;61;1;RJ;2024-03-16;;ativo;2024-12-31;290;9;2024-10-02;2024-12-31
62;62;2;SP;2023-01-20;2024-06-06;cancelou;2024-06-06;503;16;2024-03-08;2024-06-06
63;63;1;BA;2022-09-27;;ativo;2024-12-31;826;27;2024-10-02;2024-12-31
64;64;1;MG;2022-07-01;;ativo;2024-12-31;914;30;2024-10-02;2024-12-31
65;65;2;PR;2023-11-21;;ativo;2024-12-31;406;13;2024-10-02;2024-12-31
66;66;4;CE;2023-03-14;;ativo;2024-12-31;658;21;2024-10-02;2024-12-31
67;67;2;RJ;2023-03-08;;ativo;2024-12-31;664;22;2024-10-02;2024-12-31
68;68;2;CE;2023-04-07;2023-09-28;cancelou;2023-09-28;174;5;2023-06-30;2023-09-28
69;69;2;CE;2024-01-05;;ativo;2024-12-31;361;12;2024-10-02;2024-12-31
70;70;3;RJ;2023-06-09;;ativo;2024-12-31;571;19;2024-10-02;2024-12-31
71;71;1;MG;2022-09-05;2024-06-10;cancelou;2024-06-10;644;21;2024-03-12;2024-06-10
72;72;1;SP;2024-03-05;;ativo;2024-12-31;301;10;2024-10-02;2024-12-31
73;73;1;PE;2022-10-30;;ativo;2024-12-31;793;26;2024-10-02;2024-12-31
74;74;1;RJ;2023-06-02;;ativo;2024-12-31;578;19;2024-10-02;2024-12-31
75;75;2;RS;2024-01-06;;ativo;2024-12-31;360;12;2024-10-02;2024-12-31
76;76;1;RJ;2023-08-18;;ativo;2024-12-31;501;16;2024-10-02;2024-12-31
77;77;1;RJ;2024-03-25;;ativo;2024-12-31;281;9;2024-10-02;2024-12-31
78;78;1;PR;2022-09-20;;ativo;2024-12-31;833;27;2024-10-02;2024-12-31
79;79;1;BA;2022-05-27;;ativo;2024-12-31;949;31;2024-10-02;2024-12-31
80;80;1;MG;2023-04-27;;ativo;2024-12-31;614;20;2024-10-02;2024-12-31
81;81;1;RS;2022-01-02;2023-01-28;cancelou;2023-01-28;391;13;2022-10-30;2023-01-28
82;82;1;RJ;2023-07-24;;ativo;2024-12-31;526;17;2024-10-02;2024-12-31
83;83;3;CE;2022-03-03;;ativo;2024-12-31;1034;34;2024-10-02;2024-12-31
84;84;1;SP;2024-04-25;;ativo;2024-12-31;250;8;2024-10-02;2024-12-31
85;85;2;RJ;2023-03-09;;ativo;2024-12-31;663;22;2024-10-02;2024-12-31
86;86;3;SP;2022-06-18;2024-04-01;cancelou;2024-04-01;653;21;2024-01-02;2024-04-01
87;87;1;CE;2022-08-03;;ativo;2024-12-31;881;29;2024-10-02;2024-12-31
88;88;4;BA;2022-12-03;;ativo;2024-12-31;759;25;2024-10-02;2024-12-31
89;89;2;MG;2022-12-13;2024-10-26;cancelou;2024-10-26;683;22;2024-07-28;2024-10-26
90;90;1;SP;2023-02-26;;ativo;2024-12-31;674;22;2024-10-02;2024-12-31
91;91;3;RJ;2024-06-30;;ativo;2024-12-31;184;6;2024-10-02;2024-12-31
92;92;4;PE;2023-01-21;;ativo;2024-12-31;710;23;2024-10-02;2024-12-31
93;93;2;CE;2022-01-11;;ativo;2024-12-31;1085;36;2024-10-02;2024-12-31
94;94;2;RJ;2022-07-03;2023-12-20;cancelou;2023-12-20;535;17;2023-09-21;2023-12-20
95;95;4;PR;2022-01-10;2022-12-17;cancelou;2022-12-17;341;11;2022-09-18;2022-12-17
96;96;2;BA;2023-04-07;2024-11-15;cancelou;2024-11-15;588;19;2024-08-17;2024-11-15
97;97;1;PR;2023-12-31;;ativo;2024-12-31;366;12;2024-10-02;2024-12-31
98;98;1;RJ;2022-06-11;;ativo;2024-12-31;934;31;2024-10-02;2024-12-31
99;99;2;MG;2022-01-05;;ativo;2024-12-31;1091;36;2024-10-02;2024-12-31
100;100;1;RJ;2022-05-18;;ativo;2024-12-31;958;31;2024-10-02;2024-12-31
101;101;2;RJ;2023-04-03;;ativo;2024-12-31;638;21;2024-10-02;2024-12-31
102;102;3;RS;2022-11-24;;ativo;2024-12-31;768;25;2024-10-02;2024-12-31
103;103;1;RS;2023-09-11;;ativo;2024-12-31;477;15;2024-10-02;2024-12-31
104;104;3;MG;2023-01-30;;ativo;2024-12-31;701;23;2024-10-02;2024-12-31
105;105;1;PE;2022-11-11;;ativo;2024-12-31;781;26;2024-10-02;2024-12-31
106;106;2;BA;2024-03-25;2024-10-02;cancelou;2024-10-02;191;6;2024-07-04;2024-10-02
107;107;2;PE;2022-10-30;2024-01-31;cancelou;2024-01-31;458;15;2023-11-02;2024-01-31
108;108;1;BA;2022-03-16;;ativo;2024-12-31;1021;34;2024-10-02;2024-12-31
109;109;2;CE;2024-06-08;;ativo;2024-12-31;206;6;2024-10-02;2024-12-31
110;110;1;RJ;2023-08-06;2024-01-31;cancelou;2024-01-31;178;5;2023-11-02;2024-01-31
111;111;2;RJ;2024-04-23;;ativo;2024-12-31;252;8;2024-10-02;2024-12-31
112;112;3;RS;2023-08-31;2024-01-12;cancelou;2024-01-12;134;4;2023-10-14;2024-01-12
113;113;2;PR;2024-03-03;;ativo;2024-12-31;303;10;2024-10-02;2024-12-31
114;114;2;SP;2023-05-18;2023-06-17;cancelou;2023-06-17;30;1;2023-03-19;2023-06-17
115;115;3;SP;2023-10-12;;ativo;2024-12-31;446;14;2024-10-02;2024-12-31
116;116;1;SP;2024-04-19;;ativo;2024-12-31;256;8;2024-10-02;2024-12-31
117;117;4;RJ;2022-03-25;;ativo;2024-12-31;1012;33;2024-10-02;2024-12-31
118;118;1;RJ;2023-03-21;;ativo;2024-12-31;651;21;2024-10-02;2024-12-31
119;119;2;BA;2022-01-13;;ativo;2024-12-31;1083;36;2024-10-02;2024-12-31
120;120;3;PE;2022-08-13;;ativo;2024-12-31;871;29;2024-10-02;2024-12-31
121;121;1;SP;2023-09-17;;ativo;2024-12-31;471;15;2024-10-02;2024-12-31
122;122;4;BA;2023-03-27;2023-08-16;cancelou;2023-08-16;142;4;2023-05-18;2023-08-16
123;123;3;BA;2022-01-04;;ativo;2024-12-31;1092;36;2024-10-02;2024-12-31
124;124;1;PE;2024-02-06;;ativo;2024-12-31;329;10;2024-10-02;2024-12-31
125;125;1;PR;2022-07-26;;ativo;2024-12-31;889;29;2024-10-02;2024-12-31
126;126;1;RS;2023-02-11;;ativo;2024-12-31;689;22;2024-10-02;2024-12-31
127;127;1;MG;2022-02-19;2024-01-08;cancelou;2024-01-08;688;22;2023-10-10;2024-01-08
128;128;2;RS;2023-06-21;;ativo;2024-12-31;559;18;2024-10-02;2024-12-31
129;129;1;SP;2023-01-30;2024-02-26;cancelou;2024-02-26;392;13;2023-11-28;2024-02-26
130;130;2;SP;2022-01-16;;ativo;2024-12-31;1080;36;2024-10-02;2024-12-31
131;131;4;RS;2023-04-16;2023-09-03;cancelou;2023-09-03;140;4;2023-06-05;2023-09-03
132;132;2;MG;2022-01-12;;ativo;2024-12-31;1084;36;2024-10-02;2024-12-31
133;133;4;CE;2023-09-25;;ativo;2024-12-31;463;15;2024-10-02;2024-12-31
134;134;2;SP;2022-10-24;2023-05-31;cancelou;2023-05-31;219;7;2023-03-02;2023-05-31
135;135;3;MG;2023-05-25;;ativo;2024-12-31;586;19;2024-10-02;2024-12-31
136;136;1;BA;2023-09-17;;ativo;2024-12-31;471;15;2024-10-02;2024-12-31
137;137;1;RJ;2022-09-24;;ativo;2024-12-31;829;27;2024-10-02;2024-12-31
138;138;1;PR;2022-03-24;;ativo;2024-12-31;1013;33;2024-10-02;2024-12-31
139;139;2;SP;2022-12-14;;ativo;2024-12-31;748;24;2024-10-02;2024-12-31
140;140;2;MG;2023-05-22;;ativo;2024-12-31;589;19;2024-10-02;2024-12-31
141;141;1;RS;2024-06-16;;ativo;2024-12-31;198;6;2024-10-02;2024-12-31
142;142;3;RJ;2022-05-06;;ativo;2024-12-31;970;32;2024-10-02;2024-12-31
143;143;2;RS;2023-04-17;;ativo;2024-12-31;624;20;2024-10-02;2024-12-31
144;144;4;SP;2023-01-19;;ativo;2024-12-31;712;23;2024-10-02;2024-12-31
145;145;1;MG;2023-03-28;2024-07-14;cancelou;2024-07-14;474;15;2024-04-15;2024-07-14
146;146;3;RS;2023-06-26;;ativo;2024-12-31;554;18;2024-10-02;2024-12-31
147;147;1;PE;2024-01-14;;ativo;2024-12-31;352;11;2024-10-02;2024-12-31
148;148;1;RJ;2023-01-29;2023-08-09;cancelou;2023-08-09;192;6;2023-05-11;2023-08-09
149;149;2;RJ;2024-02-05;;ativo;2024-12-31;330;11;2024-10-02;2024-12-31
150;150;2;CE;2024-03-26;;ativo;2024-12-31;280;9;2024-10-02;2024-12-31
151;151;4;RJ;2024-02-29;;ativo;2024-12-31;306;10;2024-10-02;2024-12-31
152;152;1;RS;2022-01-19;;ativo;2024-12-31;1077;35;2024-10-02;2024-12-31
153;153;1;RS;2023-03-26;;ativo;2024-12-31;646;21;2024-10-02;2024-12-31
154;154;2;SP;2024-06-10;;ativo;2024-12-31;204;6;2024-10-02;2024-12-31
155;155;2;PE;2022-12-17;;ativo;2024-12-31;745;24;2024-10-02;2024-12-31
156;156;2;CE;2022-01-13;;ativo;2024-12-31;1083;36;2024-10-02;2024-12-31
157;157;1;PR;2023-03-08;;ativo;2024-12-31;664;22;2024-10-02;2024-12-31
158;158;2;SP;2023-01-03;;ativo;2024-12-31;728;24;2024-10-02;2024-12-31
159;159;1;SP;2022-06-28;2023-05-29;cancelou;2023-05-29;335;11;2023-02-28;2023-05-29
160;160;3;CE;2023-04-08;;ativo;2024-12-31;633;21;2024-10-02;2024-12-31
161;161;1;MG;2023-01-15;;ativo;2024-12-31;716;23;2024-10-02;2024-12-31
162;162;3;RJ;2024-03-07;;ativo;2024-12-31;299;9;2024-10-02;2024-12-31
163;163;1;SP;2023-12-07;;ativo;2024-12-31;390;13;2024-10-02;2024-12-31
164;164;3;RJ;2022-09-19;2023-12-30;cancelou;2023-12-30;467;15;2023-10-01;2023-12-30
165;165;2;PE;2024-01-18;;ativo;2024-12-31;348;11;2024-10-02;2024-12-31
166;166;1;SP;2022-10-08;;ativo;2024-12-31;815;27;2024-10-02;2024-12-31
167;167;2;SP;2023-09-10;;ativo;2024-12-31;478;15;2024-10-02;2024-12-31
168;168;2;PR;2022-11-17;2024-11-05;cancelou;2024-11-05;719;23;2024-08-07;2024-11-05
169;169;1;SP;2022-08-20;;ativo;2024-12-31;864;28;2024-10-02;2024-12-31
170;170;1;RS;2023-01-27;;ativo;2024-12-31;704;23;2024-10-02;2024-12-31
171;171;2;RJ;2023-11-16;;ativo;2024-12-31;411;13;2024-10-02;2024-12-31
172;172;1;RJ;2022-03-07;2023-07-21;cancelou;2023-07-21;501;16;2023-04-22;2023-07-21
173;173;1;PR;2022-01-23;2023-12-10;cancelou;2023-12-10;686;22;2023-09-11;2023-12-10
174;174;3;RS;2022-06-26;;ativo;2024-12-31;919;30;2024-10-02;2024-12-31
175;175;3;RJ;2022-12-07;;ativo;2024-12-31;755;25;2024-10-02;2024-12-31
176;176;2;MG;2023-08-17;;ativo;2024-12-31;502;16;2024-10-02;2024-12-31
