customer_id,nome,idade,genero,cidade,estado,tipo_residencia,renda_estimada
1,Cliente 1,56.0,F,Sao Paulo,SP,Apartamento,4554.6
2,Cliente 2,69.0,M,São Paulo,SP,Apartamento,2708.47
3,Cliente 3,46.0,F,Belo Horizonte,MG,Apartamento,3885.44
4,Cliente 4,32.0,,Rio de janeiro,RJ,KITNET,"3676,37"
5,Cliente 5,60.0,F,Rio de janeiro,RJ,Casa,6101.65
6,Cliente 6,25.0,F,Rio de Janeiro,RJ,Casa,2037.14
7,Cliente 7,,F,Sao Paulo,SP,KITNET,6812.63
8,Cliente 8,38.0,M,Porto Alegre,RS,Casa,2608.48
9,Cliente 9,56.0,M,Sao Paulo,SP,Apartamento,1489.91
10,Cliente 10,75.0,F,Recife,PE,Apartamento,3174.63
11,Cliente 11,36.0,M,Salvador,BA,Apartamento,8360.21
12,Cliente 12,40.0,F,São Paulo,SP,KITNET,4842.81
13,Cliente 13,28.0,Outro,São Paulo,SP,,4404.45
14,Cliente 14,28.0,M,Sao Paulo,SP,Apartamento,4692.78
15,Cliente 15,41.0,M,Rio de janeiro,RJ,Casa,2345.61
16,Cliente 16,70.0,F,Rio de janeiro,RJ,KITNET,"3989,07"
17,Cliente 17,53.0,M,Porto Alegre,RS,Casa,3503.75
18,Cliente 18,57.0,F,Recife,PE,Casa,6213.6
19,Cliente 19,41.0,M,São Paulo,SP,KITNET,3336.97
20,Cliente 20,20.0,F,Porto Alegre,RS,Casa,2932.59
21,Cliente 21,39.0,M,Rio de janeiro,RJ,Casa,1752.8
22,Cliente 22,70.0,F,Porto Alegre,RS,Casa,3710.02
23,Cliente 23,19.0,F,Salvador,BA,KITNET,3939.43
24,Cliente 24,41.0,F,Rio de janeiro,RJ,Apartamento,1697.62
25,Cliente 25,61.0,M,Curitiba,PR,Apartamento,4179.75
26,Cliente 26,47.0,F,Recife,PE,Casa,3849.77
27,Cliente 27,55.0,F,Belo Horizonte,MG,Apartamento,5020.17
28,Cliente 28,19.0,M,São Paulo,SP,Apartamento,5318.55
29,Cliente 29,77.0,M,Rio de Janeiro,RJ,Casa,3641.42
30,Cliente 30,38.0,M,Salvador,BA,Casa,1945.45
31,Cliente 31,50.0,F,Fortaleza,CE,Casa,2254.07
32,Cliente 32,29.0,F,Belo Horizonte,MG,,6143.19
33,Cliente 33,75.0,F,Rio de Janeiro,RJ,Apartamento,3748.23
34,Cliente 34,39.0,M,Rio de janeiro,RJ,KITNET,6119.23
35,Cliente 35,78.0,M,Fortaleza,CE,Casa,4247.91
36,Cliente 36,61.0,F,Sao Paulo,SP,Apartamento,4630.6
37,Cliente 37,42.0,F,Sao Paulo,SP,Apartamento,4908.09
38,Cliente 38,66.0,,Salvador,BA,Apartamento,1665.29
39,Cliente 39,44.0,M,Sao Paulo,SP,,3960.43
40,Cliente 40,76.0,F,Fortaleza,CE,Casa,1644.5
41,Cliente 41,59.0,M,Fortaleza,CE,Casa,3072.63
42,Cliente 42,45.0,M,Recife,PE,Apartamento,4460.25
43,Cliente 43,77.0,F,Belo Horizonte,MG,Apartamento,1962.0
44,Cliente 44,33.0,F,São Paulo,SP,Apartamento,4339.01
45,Cliente 45,32.0,,Curitiba,PR,Casa,1252.45
