contrato_id,customer_id,plano_id,data_inicio,data_cancelamento,fidelidade_meses,status,motivo_cancelamento
1,1,2,2023-02-27,,24.0,ativo,
2,2,1,2023-06-04,2024-02-04,24.0,cancelado,Problemas de rede
3,3,1,2022-09-29,,24.0,ativo,
4,4,2,2024-02-12,,24.0,ativo,
5,5,2,2022-04-18,2022-08-09,,cancelado,Preço alto
6,6,3,2022-06-24,2023-08-22,,cancelado,Atendimento ruim
7,7,4,2023-04-14,,,ativo,
8,8,2,2023-07-26,,,ativo,
9,9,2,2024-03-03,,,ativo,
10,10,2,2022-01-15,,,ativo,
11,11,2,2023-08-31,,,ativo,
12,12,1,2023-01-16,,12.0,ativo,
13,13,1,2023-03-08,,,ativo,
14,14,1,2022-10-25,,12.0,ativo,
15,15,2,2023-11-11,,24.0,ativo,
16,16,3,2023-07-23,,24.0,ativo,
17,17,2,2023-03-12,,,ativo,
18,18,2,2024-06-05,,,ativo,
19,19,2,2023-01-28,2024-04-20,12.0,cancelado,Outros
20,20,1,2023-10-20,2024-04-18,,cancelado,Outros
21,21,2,2022-03-20,,12.0,ativo,
22,22,3,2022-08-01,,,ativo,
23,23,4,2023-09-16,,,ativo,
24,24,3,2024-02-24,,24.0,ativo,
25,25,3,2023-06-29,2023-08-13,,cancelado,Outros
26,26,3,2024-03-14,,24.0,ativo,
27,27,1,2023-08-16,,12.0,ativo,
28,28,1,2024-06-07,,24.0,ativo,
29,29,2,2024-06-27,,,ativo,
30,30,2,2024-05-06,,12.0,ativo,
31,31,2,2023-09-06,,12.0,ativo,
32,32,1,2023-01-19,,,ativo,
33,33,2,2024-02-13,,24.0,ativo,
34,34,3,2022-04-04,,12.0,ativo,
35,35,2,2023-04-22,,24.0,ativo,
36,36,1,2023-12-28,,12.0,ativo,
37,37,2,2022-05-18,,12.0,ativo,
38,38,1,2023-04-20,,12.0,ativo,
39,39,3,2023-10-04,,12.0,ativo,
40,40,4,2024-05-11,,12.0,ativo,
41,41,1,2023-10-02,2024-08-07,12.0,cancelado,Migracao para concorrente
42,42,2,2023-11-09,2024-08-30,24.0,cancelado,Problemas de rede
43,43,1,2022-12-26,,12.0,ativo,
44,44,1,2023-10-27,,24.0,ativo,
45,45,3,2023-12-18,,24.0,ativo,
46,46,3,2024-01-23,,12.0,ativo,
47,47,2,2022-05-29,2023-05-19,24.0,cancelado,Problemas de rede
48,48,2,2022-09-16,,,ativo,
49,49,3,2023-02-20,,,ativo,
50,50,3,2024-06-02,,,ativo,
51,51,1,2022-12-02,,12.0,ativo,
52,52,2,2023-12-25,,,ativo,
53,53,2,2022-06-26,,,ativo,
54,54,1,2024-01-31,,,ativo,
55,55,4,2024-05-08,,12.0,ativo,
56,56,1,2023-05-28,,,ativo,
57,57,3,2022-03-30,,24.0,ativo,
58,58,1,2022-02-05,,12.0,ativo,
59,59,1,2023-12-31,2024-03-29,12.0,cancelado,Problemas de rede
60,60,1,2023-11-10,,24.0,ativo,
61,61,1,2024-03-16,,24.0,ativo,
62,62,2,2023-01-20,2024-06-06,24.0,cancelado,Migracao para concorrente
63,63,1,2022-09-27,,,ativo,
64,64,1,2022-07-01,,24.0,ativo,
65,65,2,2023-11-21,,12.0,ativo,
66,66,4,2023-03-14,,12.0,ativo,
67,67,2,2023-03-08,,,ativo,
68,68,2,2023-04-07,2023-09-28,24.0,cancelado,Atendimento ruim
69,69,2,2024-01-05,,24.0,ativo,
70,70,3,2023-06-09,,24.0,ativo,
71,71,1,2022-09-05,2024-06-10,24.0,cancelado,Preço alto
72,72,1,2024-03-05,,12.0,ativo,
73,73,1,2022-10-30,,,ativo,
74,74,1,2023-06-02,,,ativo,
75,75,2,2024-01-06,,,ativo,
76,76,1,2023-08-18,,12.0,ativo,
77,77,1,2024-03-25,,,ativo,
78,78,1,2022-09-20,,12.0,ativo,
79,79,1,2022-05-27,,24.0,ativo,
80,80,1,2023-04-27,,12.0,ativo,
81,81,1,2022-01-02,2023-01-28,24.0,cancelado,Problemas de rede
82,82,1,2023-07-24,,12.0,ativo,
83,83,3,2022-03-03,,,ativo,
84,84,1,2024-04-25,,12.0,ativo,
85,85,2,2023-03-09,,,ativo,
86,86,3,2022-06-18,2024-04-01,24.0,cancelado,Atendimento ruim
87,87,1,2022-08-03,,12.0,ativo,
88,88,4,2022-12-03,,12.0,ativo,
89,89,2,2022-12-13,2024-10-26,24.0,cancelado,Outros
90,90,1,2023-02-26,,12.0,ativo,
91,91,3,2024-06-30,,12.0,ativo,
92,92,4,2023-01-21,,12.0,ativo,
93,93,2,2022-01-11,,12.0,ativo,
94,94,2,2022-07-03,2023-12-20,24.0,cancelado,Preço alto
95,95,4,2022-01-10,2022-12-17,24.0,cancelado,Outros
96,96,2,2023-04-07,2024-11-15,24.0,cancelado,Atendimento ruim
97,97,1,2023-12-31,,24.0,ativo,
98,98,1,2022-06-11,,24.0,ativo,
99,99,2,2022-01-05,,24.0,ativo,
100,100,1,2022-05-18,,24.0,ativo,
101,101,2,2023-04-03,,24.0,ativo,
102,102,3,2022-11-24,,,ativo,
103,103,1,2023-09-11,,,ativo,
104,104,3,2023-01-30,,12.0,ativo,
105,105,1,2022-11-11,,,ativo,
106,106,2,2024-03-25,2024-10-02,24.0,cancelado,Atendimento ruim
107,107,2,2022-10-30,2024-01-31,,cancelado,Outros
108,108,1,2022-03-16,,12.0,ativo,
109,109,2,2024-06-08,,12.0,ativo,
110,110,1,2023-08-06,2024-01-31,12.0,cancelado,Preço alto
111,111,2,2024-04-23,,24.0,ativo,
112,112,3,2023-08-31,2024-01-12,,cancelado,Outros
113,113,2,2024-03-03,,,ativo,
114,114,2,2023-05-18,2023-06-17,,cancelado,Outros
115,115,3,2023-10-12,,24.0,ativo,
116,116,1,2024-04-19,,,ativo,
117,117,4,2022-03-25,,24.0,ativo,
118,118,1,2023-03-21,,12.0,ativo,
119,119,2,2022-01-13,,,ativo,
120,120,3,2022-08-13,,24.0,ativo,
121,121,1,2023-09-17,,12.0,ativo,
122,122,4,2023-03-27,2023-08-16,24.0,cancelado,Outros
123,123,3,2022-01-04,,24.0,ativo,
124,124,1,2024-02-06,,12.0,ativo,
125,125,1,2022-07-26,,24.0,ativo,
126,126,1,2023-02-11,,,ativo,
127,127,1,2022-02-19,2024-01-08,,cancelado,Preço alto
128,128,2,2023-06-21,,24.0,ativo,
129,129,1,2023-01-30,2024-02-26,12.0,cancelado,Migracao para concorrente
130,130,2,2022-01-16,,,ativo,
131,131,4,2023-04-16,2023-09-03,24.0,cancelado,Preço alto
132,132,2,2022-01-12,,24.0,ativo,
133,133,4,2023-09-25,,,ativo,
134,134,2,2022-10-24,2023-05-31,24.0,cancelado,Outros
135,135,3,2023-05-25,,12.0,ativo,
136,136,1,2023-09-17,,12.0,ativo,
137,137,1,2022-09-24,,12.0,ativo,
138,138,1,2022-03-24,,24.0,ativo,
139,139,2,2022-12-14,,,ativo,
140,140,2,2023-05-22,,12.0,ativo,
141,141,1,2024-06-16,,,ativo,
142,142,3,2022-05-06,,24.0,ativo,
143,143,2,2023-04-17,,24.0,ativo,
144,144,4,2023-01-19,,12.0,ativo,
145,145,1,2023-03-28,2024-07-14,24.0,cancelado,Problemas de rede
146,146,3,2023-06-26,,12.0,ativo,
147,147,1,2024-01-14,,24.0,ativo,
148,148,1,2023-01-29,2023-08-09,12.0,cancelado,Problemas de rede
149,149,2,2024-02-05,,12.0,ativo,
150,150,2,2024-03-26,,,ativo,
151,151,4,2024-02-29,,,ativo,
152,152,1,2022-01-19,,,ativo,
153,153,1,2023-03-26,,12.0,ativo,
154,154,2,2024-06-10,,12.0,ativo,
155,155,2,2022-12-17,,12.0,ativo,
156,156,2,2022-01-13,,,ativo,
157,157,1,2023-03-08,,24.0,ativo,
158,158,2,2023-01-03,,12.0,ativo,
159,159,1,2022-06-28,2023-05-29,12.0,cancelado,Atendimento ruim
160,160,3,2023-04-08,,12.0,ativo,
161,161,1,2023-01-15,,12.0,ativo,
162,162,3,2024-03-07,,,ativo,
163,163,1,2023-12-07,,,ativo,
164,164,3,2022-09-19,2023-12-30,24.0,cancelado,Migracao para concorrente
165,165,2,2024-01-18,,12.0,ativo,
166,166,1,2022-10-08,,,ativo,
167,167,2,2023-09-10,,24.0,ativo,
168,168,2,2022-11-17,2024-11-05,12.0,cancelado,Atendimento ruim
169,169,1,2022-08-20,,12.0,ativo,
170,170,1,2023-01-27,,24.0,ativo,
171,171,2,2023-11-16,,12.0,ativo,
172,172,1,2022-03-07,2023-07-21,,cancelado,Atendimento ruim
173,173,1,2022-01-23,2023-12-10,,cancelado,Problemas de rede
174,174,3,2022-06-26,,24.0,ativo,
175,175,3,2022-12-07,,,ativo,
176,176,2,2023-08-17,,,ativo,
177,177,1,2022-08-25,,24.0,ativo,
178,178,2,2024-05-30,,24.0,ativo,
179,179,4,2024-02-03,,12.0,ativo,
180,180,1,2022-06-23,,,ativo,
181,181,1,2022-08-07,2022-12-25,24.0,cancelado,Preço alto
182,182,1,2024-02-28,,12.0,ativo,
