ticket_id,customer_id,data_abertura,data_fechamento,categoria,status,sla_atingido
1,2,2024-02-02,2024-02-11,Cobranca,fechado,sim
2,2,2023-04-01,2023-04-11,Cobranca,fechado,
3,2,2024-12-07,2024-12-07,Tecnico,fechado,
4,3,2023-04-17,2023-04-22,Rede,fechado,
5,4,2024-09-22,2024-09-22,Atendimento,fechado,sim
6,5,2023-09-12,2023-09-12,Cobranca,fechado,sim
7,5,2024-01-25,2024-01-27,Atendimento,fechado,
8,6,2023-06-19,,Tecnico,pendente,sim
9,7,2024-06-26,,Tecnico,pendente,nao
10,8,2023-11-16,2023-11-19,Tecnico,fechado,sim
11,9,2024-03-04,,Tecnico,aberto,nao
12,9,2024-11-18,2024-11-30,Atendimento,fechado,sim
13,10,2023-11-22,,Cobranca,pendente,sim
14,11,2023-06-26,,Rede,aberto,nao
15,11,2023-11-06,2023-11-17,Atendimento,fechado,sim
16,14,2025-01-05,,Rede,aberto,sim
17,15,2023-11-11,2023-11-17,Atendimento,fechado,
18,16,2023-11-24,2023-12-04,Atendimento,fechado,
19,17,2024-05-01,,Rede,aberto,sim
20,18,2023-10-12,2023-10-19,Tecnico,fechado,
21,19,2023-02-24,2023-02-26,Cobranca,fechado,sim
22,19,2024-11-05,,Rede,aberto,
23,19,2024-07-21,2024-08-04,Rede,fechado,sim
24,21,2024-12-13,2024-12-22,Atendimento,fechado,sim
25,23,2024-10-03,2024-10-09,Rede,fechado,sim
26,23,2023-12-23,2023-12-25,Rede,fechado,nao
27,23,2024-11-24,,Cobranca,pendente,nao
28,24,2024-08-05,2024-08-11,Cobranca,fechado,sim
29,25,2023-03-19,2023-03-19,Tecnico,fechado,sim
30,26,2024-12-08,2024-12-20,Cobranca,fechado,sim
31,27,2024-12-14,,Cobranca,aberto,sim
32,27,2024-01-22,2024-01-31,Tecnico,fechado,nao
33,28,2023-09-29,2023-10-09,Cobranca,fechado,sim
34,29,2023-03-12,,Atendimento,pendente,sim
35,30,2024-12-24,2025-01-02,Atendimento,fechado,sim
36,32,2024-06-07,2024-06-20,Rede,fechado,nao
37,32,2023-06-12,2023-06-23,Atendimento,fechado,sim
38,33,2024-11-30,,Cobranca,aberto,
39,37,2024-07-26,2024-07-27,Tecnico,fechado,sim
40,38,2024-12-10,2024-12-14,Atendimento,fechado,nao
41,39,2024-07-04,,Tecnico,aberto,nao
42,40,2024-05-11,2024-05-13,Rede,fechado,sim
43,41,2023-01-30,2023-01-30,Tecnico,fechado,nao
44,42,2024-03-06,2024-03-15,Tecnico,fechado,sim
45,43,2023-01-29,2023-02-11,Cobranca,fechado,sim
46,44,2024-04-13,2024-04-26,Rede,fechado,
47,45,2024-08-08,,Cobranca,pendente,sim
48,45,2024-05-08,2024-05-17,Atendimento,fechado,sim
49,46,2024-04-29,2024-05-09,Atendimento,fechado,sim
50,47,2025-01-05,,Tecnico,pendente,sim
51,49,2024-02-19,,Tecnico,pendente,sim
52,50,2024-04-18,2024-05-01,Rede,fechado,sim
53,52,2024-08-12,2024-08-26,Tecnico,fechado,nao
54,53,2024-12-31,2025-01-09,Tecnico,fechado,sim
55,54,2024-01-01,2024-01-04,Tecnico,fechado,sim
56,54,2024-07-14,2024-07-23,Rede,fechado,nao
57,54,2023-08-24,2023-09-01,Cobranca,fechado,
58,55,2023-03-08,,Tecnico,aberto,sim
59,56,2024-07-16,2024-07-20,Rede,fechado,sim
60,56,2024-11-16,,Cobranca,pendente,sim
61,58,2025-01-05,,Tecnico,pendente,sim
62,59,2024-10-27,2024-11-04,Rede,fechado,nao
63,59,2024-12-24,2025-01-07,Rede,fechado,nao
64,59,2024-03-24,2024-03-24,Rede,fechado,sim
65,59,2024-06-12,2024-06-17,Tecnico,fechado,sim
66,60,2023-11-30,2023-12-11,Rede,fechado,
67,60,2024-01-06,2024-01-18,Rede,fechado,sim
68,61,2023-01-05,,Rede,pendente,
69,61,2023-01-30,2023-02-06,Tecnico,fechado,
70,61,2025-01-05,,Atendimento,aberto,sim
71,64,2024-03-06,2024-03-08,Atendimento,fechado,sim
72,65,2024-01-23,2024-02-05,Tecnico,fechado,nao
73,66,2023-10-12,2023-10-21,Cobranca,fechado,sim
74,66,2023-01-11,2023-01-14,Rede,fechado,nao
75,67,2023-10-15,2023-10-24,Rede,fechado,sim
76,69,2024-10-22,2024-10-28,Rede,fechado,
77,73,2024-10-17,2024-10-25,Atendimento,fechado,sim
78,74,2023-06-23,2023-07-03,Rede,fechado,
79,75,2023-05-18,,Tecnico,aberto,nao
80,75,2024-05-09,2024-05-13,Cobranca,fechado,nao
81,77,2024-11-20,,Cobranca,pendente,sim
82,77,2024-05-02,2024-05-07,Tecnico,fechado,nao
83,78,2024-02-16,2024-02-28,Atendimento,fechado,nao
84,78,2023-03-30,2023-04-07,Cobranca,fechado,nao
85,80,2024-04-20,2024-04-25,Cobranca,fechado,sim
86,81,2023-10-14,2023-10-14,Cobranca,fechado,nao
87,82,2024-06-14,2024-06-19,Cobranca,fechado,sim
88,82,2023-07-30,,Atendimento,pendente,sim
89,84,2023-03-14,2023-03-25,Cobranca,fechado,sim
90,85,2023-04-20,,Tecnico,pendente,nao
91,85,2024-06-24,2024-07-08,Cobranca,fechado,
92,86,2024-12-11,2024-12-13,Tecnico,fechado,sim
93,87,2024-04-25,2024-05-03,Rede,fechado,sim
94,87,2023-01-03,2023-01-09,Tecnico,fechado,sim
95,87,2023-04-28,,Tecnico,pendente,sim
96,87,2024-01-04,2024-01-09,Rede,fechado,sim
97,89,2024-04-10,2024-04-12,Atendimento,fechado,sim
98,89,2023-04-08,2023-04-08,Tecnico,fechado,
99,89,2024-07-08,,Tecnico,pendente,nao
100,90,2024-04-16,2024-04-19,Rede,fechado,sim
101,91,2024-06-01,,Cobranca,pendente,sim
102,91,2023-01-01,,Tecnico,pendente,sim
103,91,2023-01-22,2023-01-25,Tecnico,fechado,
104,93,2024-06-15,,Cobranca,aberto,sim
105,93,2023-07-16,2023-07-19,Atendimento,fechado,sim
106,94,2023-08-14,2023-08-18,Rede,fechado,nao
107,95,2023-11-30,2023-12-11,Cobranca,fechado,nao
108,95,2023-11-18,,Cobranca,pendente,sim
109,96,2023-08-15,2023-08-15,Rede,fechado,sim
110,96,2024-04-15,,Rede,pendente,nao
111,96,2023-01-14,,Tecnico,aberto,nao
112,97,2024-09-25,2024-10-04,Rede,fechado,sim
113,97,2024-05-28,2024-06-05,Rede,fechado,nao
114,98,2024-12-29,,Rede,pendente,
115,99,2023-12-09,2023-12-11,Atendimento,fechado,sim
116,100,2024-08-15,,Rede,pendente,
117,101,2024-04-04,2024-04-09,Cobranca,fechado,sim
118,101,2024-02-19,2024-03-02,Tecnico,fechado,sim
119,102,2023-08-19,2023-08-23,Tecnico,fechado,sim
120,103,2023-02-05,2023-02-18,Atendimento,fechado,sim
121,106,2023-10-15,,Cobranca,aberto,sim
122,106,2024-07-17,2024-07-20,Tecnico,fechado,nao
123,106,2024-09-06,2024-09-17,Rede,fechado,sim
124,109,2023-11-07,2023-11-14,Atendimento,fechado,sim
125,110,2023-09-13,2023-09-14,Rede,fechado,sim
126,110,2023-07-25,2023-08-04,Rede,fechado,sim
127,112,2023-05-12,2023-05-18,Rede,fechado,nao
128,112,2023-12-21,,Atendimento,aberto,
129,112,2023-10-14,,Cobranca,pendente,sim
130,113,2023-03-17,2023-03-30,Atendimento,fechado,nao
131,113,2023-03-31,,Tecnico,aberto,sim
132,113,2023-01-29,,Rede,aberto,nao
133,114,2024-09-18,,Cobranca,pendente,sim
134,115,2023-03-01,,Rede,pendente,sim
135,116,2024-01-25,,Rede,aberto,sim
136,119,2024-07-22,,Atendimento,pendente,sim
137,120,2023-07-06,2023-07-20,Cobranca,fechado,sim
138,121,2024-10-19,,Atendimento,pendente,nao
139,122,2023-08-06,,Cobranca,aberto,
140,123,2023-01-12,2023-01-26,Atendimento,fechado,sim
141,125,2023-10-21,,Cobranca,pendente,nao
142,125,2024-04-03,,Rede,pendente,
143,125,2024-05-08,,Cobranca,pendente,nao
144,125,2024-05-09,2024-05-20,Tecnico,fechado,
145,126,2023-11-12,,Tecnico,pendente,sim
146,127,2023-10-19,,Rede,pendente,
147,127,2023-01-18,2023-01-30,Atendimento,fechado,sim
148,128,2023-01-04,2023-01-04,Rede,fechado,sim
149,129,2023-02-03,,Tecnico,pendente,nao
150,131,2023-12-20,,Rede,pendente,nao
151,131,2024-03-23,2024-04-01,Rede,fechado,sim
152,133,2023-05-27,,Cobranca,aberto,sim
153,134,2024-11-10,2024-11-12,Atendimento,fechado,nao
154,135,2024-08-01,,Atendimento,aberto,nao
155,138,2023-05-01,2023-05-02,Rede,fechado,nao
156,138,2023-09-14,,Rede,pendente,sim
157,139,2023-02-24,,Atendimento,pendente,nao
158,140,2023-12-21,,Rede,pendente,nao
159,140,2024-03-20,2024-03-22,Atendimento,fechado,sim
160,141,2024-02-17,2024-02-27,Tecnico,fechado,sim
161,143,2023-03-18,2023-03-27,Rede,fechado,sim
