customer_id,ano_mes,dados_consumidos_gb,minutos_utilizados,sms_enviados,roaming_minutos,congestao_rede
1,2023-02,16.18,318,66,41,alta
1,2023-03,10.06,514,46,0,baixa
1,2023-04,16.17,380,63,59,media
1,2023-05,12.94,353,32,0,baixa
1,2023-06,6.44,449,32,0,baixa
1,2023-07,11.44,322,42,37,baixa
1,2023-08,14.36,294,64,0,baixa
1,2023-09,7.64,458,64,0,media
1,2023-10,9.12,413,47,0,media
1,2023-11,22.19,458,20,0,media
1,2023-12,24.0,230,68,0,baixa
1,2024-01,21.04,368,58,0,baixa
1,2024-02,10.84,621,53,0,media
1,2024-03,"19,81",386,74,0,baixa
1,2024-04,13.11,432,103,0,baixa
1,2024-05,15.05,393,23,19,baixa
1,2024-06,8.66,288,0,0,baixa
1,2024-07,11.86,406,57,0,baixa
1,2024-08,"13,41",515,54,56,baixa
1,2024-09,16.89,267,59,0,alta
1,2024-10,7.67,497,42,0,alta
1,2024-11,20.85,476,56,0,baixa
1,2024-12,12.88,221,38,0,media
2,2023-06,2.48,119,14,0,baixa
2,2023-07,4.4,95,44,0,media
2,2023-08,4.55,81,77,0,baixa
2,2023-09,3.65,128,55,0,media
2,2023-10,3.34,108,56,0,baixa
2,2023-11,6.54,65,59,0,media
2,2023-12,"2,78",1,86,33,baixa
2,2024-01,2.32,23,33,0,media
2,2024-02,2.12,81,26,0,media
3,2023-01,5.34,28,16,23,baixa
3,2023-02,4.61,52,56,0,baixa
3,2023-03,5.72,59,26,0,baixa
3,2023-04,2.67,65,62,0,media
3,2023-05,1.19,104,26,0,baixa
3,2023-06,4.88,58,30,0,media
3,2023-07,1.01,59,54,0,baixa
3,2023-08,6.78,87,108,0,baixa
3,2023-09,4.5,77,34,0,baixa
3,2023-10,3.74,60,49,0,baixa
3,2023-11,2.97,78,38,0,baixa
3,2023-12,7.08,69,29,0,media
3,2024-01,"4,82",106,22,0,media
3,2024-02,3.6,63,47,41,baixa
3,2024-03,3.75,58,55,0,baixa
3,2024-04,4.39,72,9,44,baixa
3,2024-05,0.42,94,47,0,baixa
3,2024-06,5.15,77,73,0,baixa
3,2024-07,3.72,66,31,0,baixa
3,2024-08,5.97,98,48,0,baixa
3,2024-09,4.62,55,79,0,baixa
3,2024-10,2.83,67,9,0,baixa
3,2024-11,2.95,80,58,0,baixa
3,2024-12,5.92,45,61,0,media
4,2024-02,14.35,414,35,0,baixa
4,2024-03,9.2,97,77,0,baixa
4,2024-04,11.07,129,73,36,baixa
4,2024-05,3.87,187,62,19,baixa
4,2024-06,"13,12",653,23,25,baixa
4,2024-07,10.02,341,71,0,alta
4,2024-08,9.41,600,57,0,baixa
4,2024-09,9.41,304,54,59,baixa
4,2024-10,8.49,390,8,43,baixa
4,2024-11,55.4,426,55,43,baixa
4,2024-12,15.15,235,44,0,baixa
6,2023-01,20.16,1079,66,0,baixa
6,2023-02,25.08,730,90,0,baixa
6,2023-03,14.4,1332,48,0,baixa
6,2023-04,19.95,952,98,17,baixa
6,2023-05,23.33,925,79,0,baixa
6,2023-06,15.39,1922,99,35,alta
6,2023-07,37.52,1568,20,0,media
6,2023-08,10.44,510,43,0,baixa
7,2023-04,22.92,602,50,0,baixa
7,2023-05,56.12,1004,0,0,baixa
7,2023-06,40.49,972,106,0,alta
7,2023-07,70.06,1502,60,14,baixa
7,2023-08,66.86,1219,15,0,media
7,2023-09,73.09,1630,79,0,baixa
7,2023-10,27.31,1003,28,46,baixa
7,2023-11,86.27,1143,30,0,baixa
7,2023-12,8.21,1761,109,0,baixa
7,2024-01,57.97,985,56,0,baixa
7,2024-02,61.48,1536,42,0,media
7,2024-03,96.37,1574,66,0,baixa
7,2024-04,24.09,953,76,0,media
7,2024-05,73.74,1605,131,0,baixa
7,2024-06,93.34,979,14,0,media
7,2024-07,38.79,1576,17,0,baixa
7,2024-08,67.64,1243,89,31,baixa
7,2024-09,57.49,1397,65,0,baixa
7,2024-10,33.39,1472,36,0,baixa
7,2024-11,74.15,1319,55,0,alta
7,2024-12,70.4,1019,61,0,baixa
8,2023-07,20.46,239,41,0,media
8,2023-08,11.86,173,96,0,baixa
8,2023-09,10.42,625,33,0,baixa
8,2023-10,8.81,436,83,0,baixa
8,2023-11,11.46,372,53,0,media
8,2023-12,13.67,311,83,25,alta
8,2024-01,23.24,354,67,5,baixa
8,2024-02,14.32,447,59,38,baixa
8,2024-03,17.93,401,44,0,alta
8,2024-04,12.2,448,63,0,baixa
8,2024-05,13.19,545,14,0,baixa
8,2024-06,8.38,461,78,0,baixa
8,2024-07,10.42,459,92,0,baixa
8,2024-08,20.06,300,92,0,media
8,2024-09,9.86,354,70,0,alta
8,2024-10,6.15,427,47,0,media
8,2024-11,9.11,238,0,0,media
8,2024-12,6.02,400,25,20,baixa
9,2024-03,6.5,436,87,0,alta
9,2024-04,15.15,393,0,0,media
9,2024-05,13.89,585,28,0,media
9,2024-06,8.59,377,85,0,baixa
9,2024-07,11.32,341,32,0,baixa
9,2024-08,12.47,785,13,0,alta
9,2024-09,13.77,492,109,0,baixa
9,2024-10,6.46,319,11,12,media
9,2024-11,10.1,526,78,0,baixa
